nationality,arrival_airport_iata,departure_airport_iata,departure_year,departure_month,departure_day,departure_date,arrival_airport_description,departure_airport_description,arrival_city,departure_city,arrival_country_code,departure_country_code,arrival_country,departure_country,zone,entries,investigated,alarms,document_type,gender,age_group,transit_flag,airline,flight_number,control_outcome,operator_notes,risk_code,Tipo Documento,FASCIA ETA
AFG,VCE,NRT,2024,01,12,2024-01-12 09:35:00,VENEZIA MARCO POLO,NARITA INTERNATIONAL,VENEZIA,TOKYO,ITA,JPN,ITALIA,GIAPPONE,4,1,1,1,VISTO,M,18-30,SINGOLA TRATTA,EMIRATES,EK0135,RESPINTO,,,VISTO,18-30
ALB,MXP,SSA,2023,02,14,2024-02-14 18:00:00,MALPENSA,LUIS EDUARDO MAGALHAES,MILANO,SALVADOR,ITA,BRA,ITALIA,BRASILE,2,1,4,1,PERMESSO DI SOGGIORNO,M,61+,SINGOLA TRATTA,LATAM AIRLINES BRASIL,JJ8072,RESPINTO,,,PERMESSO DI SOGGIORNO,61+
ALB,PSA,TIA,2024,01,31,2024-01-31 15:15:00,GALILEO GALILEI,RINAS MOTHER TERESA,PISA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,109,109,19,N.D.,M,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W46649,FERMATO,,,N.D.,61+
ALB,BGY,BRS,2024,01,11,2024-01-11 16:55:00,ORIO AL SERIO,BRISTOL,BERGAMO,BRISTOL,ITA,GBR,ITALIA,REGNO UNITO,2,2,2,0,PERMESSO DI SOGGIORNO,M,46-60,SINGOLA TRATTA,RYANAIR DAC,,FERMATO,,,PERMESSO DI SOGGIORNO,46-60
ALB,BGY,STN,2024,01,7,2024-01-07 12:00:00,ORIO AL SERIO,STANSTED,BERGAMO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,2,2,0,CARTA D'IDENTITÀ,M,31-45,SINGOLA TRATTA,RYANAIR DAC,FR2738,,SEGNALAZIONE ESTERNA,,CARTA D'IDENTITÀ,31-45
ALB,BGY,TIA,2024,02,21,2024-02-21 20:35:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,50,50,9,N.D.,M,0-17,SINGOLA TRATTA,RYANAIR DAC,FR8356,IN ATTESA,,,N.D.,0-17
ALB,TRN,TIA,2024,01,3,2024-01-03 05:35:00,SANDRO PERTINI,RINAS MOTHER TERESA,TORINO,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,1,0,0,PASSAPORTO,F,31-45,SINGOLA TRATTA,ITA AIRWAYS,AZ0507,SEGNALATO,,,PASSAPORTO,31-45
ALB,GOA,STN,2024,01,6,2024-01-06 14:05:00,CRISTOFORO COLOMBO,STANSTED,GENOVA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,1,1,1,0,CARTA D'IDENTITÀ,M,0-17,SINGOLA TRATTA,RYANAIR DAC,FR0972,OK,,,CARTA D'IDENTITÀ,0-17
ALB,CTA,TIA,2024,02,19,2024-02-19 20:30:00,FONTANAROSSA,RINAS MOTHER TERESA,CATANIA,TIRANA,ITA,ALB,ITALIA,ALBANIA,7,15,15,3,N.D.,M,61+,SINGOLA TRATTA,RYANAIR DAC,FR8370,,,,N.D.,61+
AFG,FCO,IKA,2024,01,19,2024-01-19 09:15:00,FIUMICINO,IMAM KHOMEINI INTERNATIONAL,ROMA,TEHRAN,ITA,IRN,ITALIA,IRAN,5,1,1,1,N.D.,M,31-45,SINGOLA TRATTA,TURKISH AIRLINES,TK1861,,,,N.D.,31-45
ALB,BLQ,MAN,2024,02,4,2024-02-04 11:40:00,GUGLIELMO MARCONI,MANCHESTER,BOLOGNA,MANCHESTER,ITA,GBR,ITALIA,REGNO UNITO,8,2,2,1,CARTA D'IDENTITÀ,F,N.D.,SINGOLA TRATTA,RYANAIR DAC,FR2242,OK,,,CARTA D'IDENTITÀ,N.D.
ALB,FCO,PVG,2024,02,24,2024-02-24 12:35:00,FIUMICINO,PU DONG,ROMA,SHANGHAI,ITA,CHN,ITALIA,CINA,5,2,2,0,PASSAPORTO,M,46-60,SINGOLA TRATTA,CHINA EASTERN AIRLINES,MU0787,OK,,,PASSAPORTO,46-60
ALB,PSA,TIA,2023,02,6,2024-02-06 07:10:00,GALILEO GALILEI,RINAS MOTHER TERESA,PISA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,56,56,10,VISTO,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W43853,SEGNALATO,,,VISTO,0-17
ALB,BLQ,TIA,2024,01,4,,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,120,120,18,N.D.,M,0-17,SINGOLA TRATTA,N.D.,W46681,OK,,,N.D.,0-17
N.D.,MXP,JFK,2024,01,12,2024-01-05 20:45:00,MALPENSA,JOHN F KENNEDY INTERNATIONAL,MILANO,NEW YORK,ITA,USA,ITALIA,STATI UNITI,2,1,1,0,N.D.,M,61+,SINGOLA TRATTA,ITA AIRWAYS,AZ0605,SEGNALATO,,,N.D.,61+
ALB,FCO,TIA,2024,01,9,2024-01-09 20:00:00,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,104,0,0,VISTO,F,61+,SINGOLA TRATTA,N.D.,W43887,,,,VISTO,61+
ALB,FCO,HKT,2024,01,5,2024-01-05 01:45:00,FIUMICINO,PHUKET INTERNATIONAL,ROMA,PHUKET,ITA,THA,ITALIA,THAILANDIA,5,1,0,0,N.D.,F,0-17,SINGOLA TRATTA,SICHUAN AIRLINES,3U3895,RESPINTO,,,N.D.,0-17
ALB,MXP,RMO,2024,02,25,,MALPENSA,CHISINAU INTERNATIONAL AIRPORT,MILANO,CHISINAU,ITA,MDA,ITALIA,MOLDAVIA,2,1,1,1,N.D.,N.D.,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W43936,SEGNALATO,,,N.D.,61+
ALB,PEG,TIA,2023,01,18,2024-01-18 14:20:00,SANT EGIDIO,RINAS MOTHER TERESA,PERUGIA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,164,137,15,VISTO,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W44811,SEGNALATO,,,VISTO,0-17
AFG,BGY,SAW,2024,01,6,2024-01-14 10:35:00,ORIO AL SERIO,SABIHA GOKCEN,BERGAMO,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,2,1,1,0,CARTA D'IDENTITÀ,M,N.D.,SINGOLA TRATTA,PEGASUS AIRLINES,PC1211,SEGNALATO,,,CARTA D'IDENTITÀ,N.D.
ALB,BLQ,STN,2024,02,24,2024-02-24 17:00:00,GUGLIELMO MARCONI,STANSTED,BOLOGNA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,8,2,2,0,VISTO,,18-30,SINGOLA TRATTA,RYANAIR DAC,FR1194,RESPINTO,,,VISTO,18-30
AFG,FCO,SAW,2024,01,23,2024-01-23 15:35:00,FIUMICINO,SABIHA GOKCEN,ROMA,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,5,1,1,1,PERMESSO DI SOGGIORNO,M,18-30,SINGOLA TRATTA,PEGASUS AIRLINES,PC1225,IN ATTESA,,,PERMESSO DI SOGGIORNO,18-30
ALB,MXP,JED,2023,02,26,,MALPENSA,KING ABDULAZIZ INTERNATIONAL,MILANO,JEDDAH,ITA,SAU,ITALIA,ARABIA SAUDITA,2,1,1,6,CARTA D'IDENTITÀ,M,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W45692,FERMATO,,,CARTA D'IDENTITÀ,46-60
ALB,FCO,GYD,2024,01,27,2024-01-27 23:15:00,FIUMICINO,HEYDAR ALIYEV INTERNATIONAL,ROMA,BAKU,ITA,AZE,ITALIA,AZERBAIGIAN,5,1,0,0,PASSAPORTO,M,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W48372,SEGNALATO,,,PASSAPORTO,0-17
ALB,BLQ,TIA,2024,01,16,2024-01-16 11:30:00,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,,91,17,N.D.,F,46-60,SINGOLA TRATTA,N.D.,W43877,,,,N.D.,46-60
ALB,BGY,STN,2024,01,26,2024-01-26 13:55:00,ORIO AL SERIO,STANSTED,BERGAMO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,1,0,0,CARTA D'IDENTITÀ,M,18-30,SINGOLA TRATTA,RYANAIR DAC,FR3674,SEGNALATO,,,CARTA D'IDENTITÀ,18-30
ALB,MXP,TIA,2024,02,4,2024-02-04 06:20:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,145,145,12,VISTO,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46607,IN ATTESA,,,VISTO,0-17
ALB,FCO,TIA,2024,02,16,2024-02-16 16:45:00,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,68,68,5,VISTO,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W43887,OK,,,VISTO,31-45
ALB,FCO,TIA,2024,01,21,2024-01-21 20:50:00,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,28,0,0,VISTO,F,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W43887,FERMATO,,,VISTO,31-45
ALB,TSF,TIA,2024,01,27,2024-01-27 17:10:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,AL,ITALIA,ALBANIA,4,99,99,14,PERMESSO DI SOGGIORNO,N.D.,31-45,SINGOLA TRATTA,RYANAIR DAC,FR8400,FERMATO,,,PERMESSO DI SOGGIORNO,31-45
AFG,FCO,SAW,2024,02,11,2024-02-11 10:40:00,FIUMICINO,SABIHA GOKCEN,ROMA,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,5,1,1,1,PERMESSO DI SOGGIORNO,F,31-45,SINGOLA TRATTA,PEGASUS AIRLINES,PC1223,OK,,,PERMESSO DI SOGGIORNO,31-45
ALB,FCO,JFK,2024,01,5,2024-01-09 19:35:00,FIUMICINO,JOHN F KENNEDY INTERNATIONAL,ROMA,NEW YORK,ITA,USA,ITALIA,STATI UNITI,5,1,1,0,N.D.,F,0-17,SINGOLA TRATTA,DELTA AIR LINES,DL0230,,,,N.D.,0-17
ALB,GOA,TIA,2024,02,24,,CRISTOFORO COLOMBO,RINAS MOTHER TERESA,GENOVA,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,1,1,0,VISTO,F,61+,SINGOLA TRATTA,ITA AIRWAYS,AZ0585,RESPINTO,,,VISTO,61+
ALB,AOI,TIA,2024,01,31,2024-01-31 11:20:00,FALCONARA,RINAS MOTHER TERESA,ANCONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,36,36,3,PERMESSO DI SOGGIORNO,N.D.,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W43855,,,,PERMESSO DI SOGGIORNO,18-30
ALB,TRN,TIA,2024,02,15,2024-02-15 06:55:00,SANDRO PERTINI,RINAS MOTHER TERESA,TORINO,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,88,88,8,N.D.,M,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46603,IN ATTESA,,,N.D.,0-17
ALB,MXP,TIA,2024,01,11,2024-01-25 12:50:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,51,51,6,PASSAPORTO,F,46-60,SINGOLA TRATTA,AIR ALBANIA,ZB2003,IN ATTESA,,,PASSAPORTO,46-60
ALB,BGY,TIA,2024,02,25,2024-02-25 06:10:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,119,119,14,N.D.,M,N.D.,SINGOLA TRATTA,WIZZ AIR MALTA,W43845,SEGNALATO,,,N.D.,N.D.
ALB,TSF,TIA,2024,01,21,2024-01-21 06:50:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,84,84,20,N.D.,M,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W43851,,,,N.D.,0-17
ALB,MXP,CGK,2024,01,30,2024-01-30 03:10:00,MALPENSA,SOEKARNO-HATTA INTERNATIONAL,MILANO,GIACARTA,ITA,IDN,ITALIA,INDONESIA,2,3,2,2,N.D.,F,46-60,SINGOLA TRATTA,ETIHAD AIRWAYS,EY0081,RESPINTO,,,N.D.,46-60
ALB,MXP,BEG,2024,01,19,,MALPENSA,NIKOLA TESLA,MILANO,BELGRADO,ITA,SRB,ITALIA,SERBIA,2,1,1,1,PERMESSO DI SOGGIORNO,M,18-30,SINGOLA TRATTA,AIR SERBIA,JU0544,OK,,,PERMESSO DI SOGGIORNO,18-30
ALB,GOA,STN,2024,02,20,2024-02-20 12:35:00,CRISTOFORO COLOMBO,STANSTED,GENOVA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,1,1,1,0,N.D.,F,31-45,SINGOLA TRATTA,RYANAIR DAC,FR0972,SEGNALATO,,,N.D.,31-45
ALB,VCE,MAN,2024,01,19,2024-01-19 11:30:00,VENEZIA MARCO POLO,MANCHESTER,VENEZIA,MANCHESTER,ITA,GBR,ITALIA,REGNO UNITO,4,1,1,0,CARTA D'IDENTITÀ,F,18-30,SINGOLA TRATTA,RYANAIR DAC,FR2898,SEGNALATO,,,CARTA D'IDENTITÀ,18-30
ALB,MXP,LTN,2024,02,6,2024-02-06 17:30:00,MALPENSA,LONDON LUTON,MILANO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,0,,M,18-30,SINGOLA TRATTA,EASYJET,U22485,OK,,,N.D.,18-30
ALB,FCO,DXB,2024,02,15,2024-02-15 15:05:00,FIUMICINO,DUBAI INTERNATIONAL,ROMA,DUBAI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,5,1,2,0,N.D.,F,31-45,SINGOLA TRATTA,NULL,EK0095,SEGNALATO,,,N.D.,31-45
ALB,FCO,JFK,2024,01,10,2024-01-10 17:50:00,FIUMICINO,JOHN F KENNEDY INTERNATIONAL,ROMA,NEW YORK,ITA,USA,ITALIA,STATI UNITI,5,2,2,0,VISTO,F,61+,SINGOLA TRATTA,DELTA AIR LINES,DL0182,,,,VISTO,61+
ALB,TRN,TIA,2024,01,9,2024-01-09 06:55:00,SANDRO PERTINI,RINAS MOTHER TERESA,TORINO,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,132,132,17,VISTO,M,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W46603,,,,VISTO,46-60
ALB,NAP,LGW,2024,02,19,2024-02-19 18:40:00,NAPOLI CAPODICHINO,LONDON GATWICK,NAPOLI,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,6,3,3,0,PASSAPORTO,M,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W45791,,,,PASSAPORTO,46-60
ALB,CIA,STN,2024,01,1,2024-01-01 12:10:00,CIAMPINO,STANSTED,ROMA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,5,1,1,1,VISTO,M,0-17,SINGOLA TRATTA,RYANAIR DAC,FR2510,OK,,,VISTO,0-17
AFG,FCO,SAW,2024,01,10,2024-01-10 10:40:00,FIUMICINO,SABIHA GOKCEN,ROMA,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,5,2,2,2,N.D.,M,N.D.,SINGOLA TRATTA,PEGASUS AIRLINES,PC1223,FERMATO,,,N.D.,N.D.
ALB,TRN,STN,2024,02,6,2024-02-06 18:20:00,SANDRO PERTINI,STANSTED,TORINO,LONDRA,ITA,GB,ITALIA,REGNO UNITO,1,2,2,0,N.D.,N.D.,46-60,SINGOLA TRATTA,RYANAIR DAC,FR0464,IN ATTESA,,,N.D.,46-60
ALB,GOA,TIA,2024,01,6,2024-01-06 15:45:00,CRISTOFORO COLOMBO,RINAS MOTHER TERESA,GENOVA,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,2,2,1,N.D.,M,46-60,SINGOLA TRATTA,ITA AIRWAYS,AZ0585,OK,,,N.D.,46-60
ALB,MXP,SSH,2024,02,4,2024-02-04 13:10:00,MALPENSA,SHARM EL-SHEIKH INTERNATIONAL,MILANO,SHARM EL SHEIKH,ITA,EGY,ITALIA,EGITTO,2,1,0,4,PASSAPORTO,F,61+,SINGOLA TRATTA,EASYJET EUROPE,EC3892,SEGNALATO,,,PASSAPORTO,61+
ALB,BGY,TIA,2024,02,1,2024-02-01 21:55:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,,74,9,VISTO,M,46-60,SINGOLA TRATTA,RYANAIR DAC,FR8356,,,,VISTO,46-60
ALB,FCO,AUH,2024,02,29,2024-02-29 02:25:00,FIUMICINO,ABU DHABI INTERNATIONAL,ROMA,ABU DHABI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,5,1,1,0,N.D.,M,18-30,SINGOLA TRATTA,ETIHAD AIRWAYS,EY0085,SEGNALATO,,,N.D.,18-30
ALB,CTA,TIA,2024,01,19,2024-01-19 18:20:00,FONTANAROSSA,RINAS MOTHER TERESA,CATANIA,TIRANA,ITA,ALB,ITALIA,ALBANIA,7,26,26,3,CARTA D'IDENTITÀ,F,46-60,SINGOLA TRATTA,RYANAIR DAC,FR8370,SEGNALATO,,,CARTA D'IDENTITÀ,46-60
ALB,FCO,JAX,2024,02,21,2024-02-21 19:35:00,FIUMICINO,JACKSONVILLE INTERNATIONAL,ROMA,JACKSONVILLE,ITA,USA,ITALIA,STATI UNITI,5,2,2,0,CARTA D'IDENTITÀ,M,0-17,SINGOLA TRATTA,AMERICAN AIRLINES,N.D.,RESPINTO,,,CARTA D'IDENTITÀ,0-17
ALB,VRN,TIA,2024,01,17,2024-01-17 21:05:00,VERONA VILLAFRANCA,RINAS MOTHER TERESA,VERONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,128,128,21,N.D.,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W43849,IN ATTESA,,,N.D.,31-45
ALB,BLQ,TIA,2024,01,10,2024-01-10 19:55:00,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,109,109,22,,M,N.D.,SINGOLA TRATTA,WIZZ AIR MALTA,W43847,,,,CARTA D'IDENTITÀ,N.D.
ALB,CIA,TIA,2024,01,22,2024-01-22 19:45:00,CIAMPINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,53,53,11,PASSAPORTO,M,N.D.,SINGOLA TRATTA,RYANAIR DAC,FR8360,OK,,,PASSAPORTO,N.D.
ALB,BGY,TIA,2024,01,5,2024-01-05 06:10:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,128,128,21,N.D.,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W43845,IN ATTESA,,,N.D.,46-60
ALB,CIA,TIA,2024,02,1,2024-02-01 18:55:00,CIAMPINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,31,31,6,PERMESSO DI SOGGIORNO,F,31-45,SINGOLA TRATTA,RYANAIR DAC,FR8360,FERMATO,,,PERMESSO DI SOGGIORNO,31-45
ALB,VRN,TIA,2024,01,5,2024-01-15 20:55:00,VERONA VILLAFRANCA,RINAS MOTHER TERESA,VERONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,105,107,20,N.D.,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W43849,OK,,,N.D.,0-17
ALB,TRN,LGW,2024,02,23,2024-02-23 09:50:00,SANDRO PERTINI,LONDON GATWICK,TORINO,LONDRA,ITA,GB,ITALIA,REGNO UNITO,1,2,2,0,CARTA D'IDENTITÀ,F,31-45,SINGOLA TRATTA,EASYJET,U2 8357,SEGNALATO,,,CARTA D'IDENTITÀ,31-45
ALB,VRN,TIA,2024,01,14,2024-01-14 18:55:00,VERONA VILLAFRANCA,RINAS MOTHER TERESA,VERONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,106,106,13,CARTA D'IDENTITÀ,M,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W43883,RESPINTO,,,CARTA D'IDENTITÀ,18-30
ALB,RMI,TIA,2024,01,11,2024-01-11 10:30:00,MIRAMARE,RINAS MOTHER TERESA,RIMINI,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,146,146,23,PASSAPORTO,M,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W43875,RESPINTO,,,PASSAPORTO,46-60
ALB,TRN,TIA,2024,02,11,2024-02-11 19:55:00,SANDRO PERTINI,RINAS MOTHER TERESA,TORINO,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,61,61,12,PERMESSO DI SOGGIORNO,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46661,FERMATO,,,PERMESSO DI SOGGIORNO,0-17
ALB,FCO,SSH,2024,02,6,2024-02-06 21:20:00,FIUMICINO,SHARM EL-SHEIKH INTERNATIONAL,ROMA,SHARM EL SHEIKH,ITA,EG,ITALIA,EGITTO,5,4,4,1,N.D.,N.D.,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W48280,FERMATO,,,N.D.,31-45
ALB,BGY,STN,2024,02,15,2024-02-15 06:00:00,ORIO AL SERIO,STANSTED,BERGAMO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,0,N.D.,F,31-45,SINGOLA TRATTA,RYANAIR DAC,FR2696,,,,N.D.,31-45
ALB,BRI,TIA,2024,01,8,2024-01-08 11:35:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,123,123,17,PERMESSO DI SOGGIORNO,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W46601,FERMATO,,,PERMESSO DI SOGGIORNO,46-60
ALB,FCO,TIA,2024,02,10,2024-02-10 06:10:00,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,172,172,6,PASSAPORTO,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W43857,SEGNALATO,,,PASSAPORTO,46-60
ALB,VRN,LGW,2024,01,27,2024-01-15 06:30:00,VERONA VILLAFRANCA,LONDON GATWICK,VERONA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,4,2,2,1,CARTA D'IDENTITÀ,,31-45,SINGOLA TRATTA,BRITISH AIRWAYS,BA2590,,,,CARTA D'IDENTITÀ,31-45
ALB,FCO,AUH,2024,01,31,2024-01-31 02:25:00,FIUMICINO,ABU DHABI INTERNATIONAL,ROMA,ABU DHABI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,5,2,2,0,PASSAPORTO,M,31-45,SINGOLA TRATTA,ETIHAD AIRWAYS,EY0085,IN ATTESA,,,PASSAPORTO,31-45
ALB,BGY,BRS,2024,02,12,2024-02-12 18:10:00,ORIO AL SERIO,BRISTOL,BERGAMO,BRISTOL,ITA,GBR,ITALIA,REGNO UNITO,2,4,4,0,PERMESSO DI SOGGIORNO,M,0-17,SINGOLA TRATTA,RYANAIR DAC,FR3560,,,,PERMESSO DI SOGGIORNO,0-17
ALB,BLQ,MAN,2024,02,9,2024-02-09 14:45:00,GUGLIELMO MARCONI,MANCHESTER,BOLOGNA,MANCHESTER,ITA,GBR,ITALIA,REGNO UNITO,8,2,2,1,PASSAPORTO,F,18-30,SINGOLA TRATTA,RYANAIR DAC,FR2242,FERMATO,,,PASSAPORTO,18-30
ALB,TSF,TIA,2024,02,10,2024-02-10 06:50:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,107,107,6,N.D.,M,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W43851,RESPINTO,,,N.D.,61+
ALB,TRN,TIA,2024,01,11,2024-01-11 06:55:00,SANDRO PERTINI,RINAS MOTHER TERESA,TORINO,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,169,169,25,VISTO,M,N.D.,SINGOLA TRATTA,WIZZ AIR MALTA,W46603,FERMATO,,,VISTO,N.D.
ALB,BGY,TIA,2024,01,20,2024-01-20 14:55:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,104,107,16,PERMESSO DI SOGGIORNO,F,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W43869,SEGNALATO,,,PERMESSO DI SOGGIORNO,18-30
ALB,BLQ,STN,2024,01,18,2024-01-18 12:05:00,GUGLIELMO MARCONI,STANSTED,BOLOGNA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,8,2,2,0,CARTA D'IDENTITÀ,F,46-60,SINGOLA TRATTA,RYANAIR DAC,FR0194,SEGNALATO,,,CARTA D'IDENTITÀ,46-60
ALB,AOI,TIA,2024,02,6,2024-02-06 11:15:00,FALCONARA,RINAS MOTHER TERESA,ANCONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,37,37,7,PERMESSO DI SOGGIORNO,F,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W43855,,,,PERMESSO DI SOGGIORNO,31-45
ALB,VRN,BHX,2024,01,27,2024-01-27 06:15:00,VERONA VILLAFRANCA,BIRMINGHAM INTERNATIONAL,VERONA,BIRMINGHAM,ITA,GBR,ITALIA,REGNO UNITO,4,1,1,1,PERMESSO DI SOGGIORNO,F,31-45,SINGOLA TRATTA,RYANAIR DAC,FR1562,OK,,,PERMESSO DI SOGGIORNO,31-45
ALB,GOA,TIA,2024,01,21,2024-01-21 19:45:00,CRISTOFORO COLOMBO,RINAS MOTHER TERESA,GENOVA,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,109,109,18,VISTO,M,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W46637,SEGNALATO,,,VISTO,46-60
ALB,CTA,TIA,2024,02,29,2024-02-29 11:50:00,FONTANAROSSA,RINAS MOTHER TERESA,CATANIA,TIRANA,ITA,ALB,ITALIA,ALBANIA,7,31,31,3,N.D.,F,0-17,SINGOLA TRATTA,RYANAIR DAC,FR8370,SEGNALATO,,,N.D.,0-17
ALB,BGY,TIA,2024,01,15,2024-01-15 14:50:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,82,82,19,N.D.,F,N.D.,SINGOLA TRATTA,WIZZ AIR MALTA,W43869,SEGNALATO,,,N.D.,N.D.
ALB,GOA,TIA,2024,01,10,2024-01-03 11:15:00,CRISTOFORO COLOMBO,RINAS MOTHER TERESA,GENOVA,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,135,135,30,VISTO,,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W46637,SEGNALATO,,,VISTO,61+
ALB,MXP,DXB,2024,01,19,,MALPENSA,DUBAI INTERNATIONAL,MILANO,DUBAI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,2,1,1,0,VISTO,F,0-17,SINGOLA TRATTA,EMIRATES,EK0091,SEGNALATO,,,VISTO,0-17
